Open,High,Low,Close,Volume
7681,7681,7681,7681,190488800
7681,7681,7524.4,7588.4,2260015360
7589.2,7592.4,7572.6,7574.6,942768600
7574.6,7575.2,7510,7529.6,1506737200
7528.2,7549.8,7528.2,7540,939576320
7540.4,7546.2,7533.8,7544.2,651525000
7545.6,7557,7543.8,7555.4,588823160
7555.6,7556.2,7533,7539.6,518957920
7539.6,7542.8,7518.8,7522.8,782928560
7524,7525,7502.4,7513.2,1275719400
7513.2,7526.6,7493.2,7495.4,1365421120
7492.4,7521.8,7481.8,7518,1539775440
7518,7520.8,7500,7506.6,1015104400
7506.6,7519.8,7506.6,7518,838638480
7518,7518,7508.8,7517,371191000
7517.4,7536.8,7515.2,7527,520520720
7527.4,7559.8,7527.4,7537.4,1193705720
7537.4,7537.4,7521.4,7524.8,658096040
7525.4,7531.4,7525.4,7527.8,332783360
7527.4,7532.4,7524.4,7530.2,338738120
7530.2,7530.8,7525.8,7529.4,355327880
7529.4,7533.4,7520.2,7523.8,596104760
7523.6,7533.4,7515,7533.4,529548520
7533.4,7595.6,7533.4,7565,1706007640
7565,7578.8,7560.8,7575.4,690073720
7575.2,7575.4,7556,7556.6,577797040
7556.6,7580.6,7556.4,7576.6,628220760
7577,7588,7570.6,7585.2,1000734320
7585.2,7595.6,7585,7586.8,994196320
7587.4,7590.2,7583.4,7588,796698040
7588,7592.2,7585.4,7590.4,587351680
7590.4,7607.8,7590.4,7606,984933000
7604.8,7637.4,7603.6,7623.6,1136199560
7624,7624,7605.8,7607.2,709769360
7607.6,7620,7607.6,7618.4,389905560
7618.4,7620,7603.4,7604.8,586118440
7605.4,7608.8,7596.2,7597.2,618826160
7596.4,7598,7590,7596,645504760
7596,7607.6,7592,7604.4,598815040
7604.8,7604.8,7593.6,7595.8,395043520
7595.8,7599.8,7589.2,7599.8,786590160
7599.8,7601.8,7590,7590.2,540938000
7590.6,7614.2,7590,7609.2,667618960
7609.2,7615,7605,7607.2,514392440
7607.4,7612.8,7604.2,7612,315010520
7612.6,7624.4,7609.8,7610.8,824200440
7610.8,7612.2,7604.2,7604.6,357526120
7604.2,7604.2,7600.4,7602.4,413554880
7602.4,7615.4,7602.4,7615.4,384976320
7614.6,7623.4,7614.6,7623.4,545496600
7623.6,7624,7611.4,7616.2,440198400
7616.2,7633,7616.2,7630,646601960
7635,7659.6,7635,7659,1405366160
7659,7667.6,7655,7655.6,1213709000
7655.6,7684.8,7651,7678,999622960
7677.4,7714.4,7677.4,7707.6,2074419640
7706,7708.8,7690,7690,1162368160
7688,7692.2,7684,7686,661121680
7686,7693,7680,7682.4,817890360
7682.4,7689,7677,7682,825017680
7682.2,7705,7682.2,7703.4,775504640
7705.4,7705.8,7694.6,7701,649960960
7701.2,7725,7701.2,7724.6,1361185760
7724.6,7727.2,7715.4,7717.8,949737800
7717.8,7731.2,7717,7729.2,795836520
7729,7749.6,7728.4,7732.2,1427045040
7729,7732.4,7713.4,7715.2,1028714440
7715.8,7717,7706,7714,1025473160
7714.4,7714.8,7706.6,7706.8,510425240
